title,year,release_date_imdb,rating_imdb
ace ventura pet detective,1994,1994-02-04,6.9
babys day out,,,6.2
beverly hills cop iii,1994,1994-05-25,5.5
clear and present danger,1994,1994-08-03,6.9
clerks,,,7.7
client,1994,1994-07-20,6.7
crow,1994,1994-02-04,7.5
disclosure,1994,1994-11-28,6.2
dumb and dumber,1994,1994-12-06,7.3
ed wood,,,7.8
flintstones,1994,1994-05-23,5.0
forrest gump,1994,1994-06-23,8.8
four weddings and a funeral,1994,1994-01-20,7.1
frankenstein,1994,1994-11-04,6.3
heavenly creatures,1994,1994-07-08,7.3
hudsucker proxy,1994,1994-01-27,7.2
interview with the vampire the vampire chronicles,1994,1994-11-09,7.5
junior,1994,1994-11-14,4.7
legends of the fall,1994,1994-12-23,7.5
lion king,1994,1994-06-12,8.5
little rascals,1994,1994-08-05,6.3
little women,1994,1994-12-21,7.3
mask,1994,1994-07-28,6.9
maverick,1994,1994-05-20,7.0
naked gun 33 13 the final insult,1994,1994-03-18,6.5
natural born killers,1994,1994-08-26,7.2
pulp fiction,1994,1994-05-21,8.9
quiz show,,,7.5
reality bites,,,6.6
rihie rih,1994,1994-12-19,5.4
santa clause,1994,1994-11-11,6.5
shallow grave,1994,1994-05-17,7.3
shawshank redemption,1994,1994-09-10,9.3
specialist,1994,1994-10-07,5.6
speed,1994,1994-06-07,7.3
star trek generations,1994,1994-11-17,6.6
stargate,1994,1994-10-28,7.0
street fighter,1994,1994-12-23,4.0
timecop,1994,1994-09-16,5.9
true lies,1994,1994-07-12,7.3
wes cravens new nightmare,,,6.4
wolf,1994,1994-06-17,6.3
wyatt earp,1994,1994-06-24,6.7
ace ventura when nature calls,1995,1995-11-08,6.4
american president,1995,1995-11-08,6.8
apollo 13,1995,1995-06-22,7.7
assassins,1995,1995-10-06,6.3
babe,1995,1995-08-04,6.9
bad boys,1995,1995-04-06,6.8
basketball diaries,1995,1995-01-27,7.3
batman forever,1995,1995-06-09,5.4
before sunrise,1995,1995-01-19,8.1
billy madison,1995,1995-02-10,6.3
braveheart,1995,1995-05-18,8.3
bridges of madison county,1995,1995-05-30,7.6
casino,1995,1995-11-14,8.2
casper,1995,1995-05-26,6.2
cite des enfants perdus,,,7.5
clueless,1995,1995-07-07,6.9
copycat,1995,1995-10-19,6.6
crimson tide,1995,1995-04-01,7.3
dangerous minds,1995,1995-08-11,6.5
dead man,1995,1995-05-27,7.5
dead man walking,1995,1995-12-29,7.5
desperado,,,7.1
hard with a vengeance,1995,1995-05-15,7.6
don juan demarco,,,6.7
first knight,1995,1995-07-07,6.0
four rooms,1995,1995-09-16,6.7
french kiss,1995,1995-05-05,6.6
friday,1995,1995-04-26,7.2
get shorty,1995,1995-10-20,6.9
goldeneye,1995,1995-11-13,7.2
goofy movie,1995,1995-03-23,6.9
hackers,1995,1995-09-15,6.2
heat,1995,1995-12-06,8.3
in the mouth of madness,1994,1994-08-10,7.1
johnny mnemonic,1995,1995-04-15,5.6
judge dredd,,,5.6
jumanji,1995,1995-12-15,7.1
kids,,,7.0
leaving las vegas,1995,1995-09-15,7.5
mallrats,1995,1995-10-20,7.0
mortal kombat,1995,1995-07-13,5.8
net,1995,1995-07-25,6.0
outbreak,1995,1995-03-06,6.6
pocahontas,1995,1995-06-15,6.7
quick and the dead,1995,1995-02-10,6.5
se7en,1995,1995-09-15,8.6
sense and sensibility,1995,1995-12-04,7.7
showgirls,1995,1995-09-21,5.0
species,1995,1995-07-07,5.9
strange days,1995,1995-09-03,7.2
to die for,1995,1995-05-20,6.8
tommy boy,1995,1995-03-31,7.1
toy story,1995,1995-11-19,8.3
twelve monkeys,,,8.0
underground,1995,1995-04-01,8.1
usual suspects,,,8.5
waterworld,1995,1995-07-28,6.3
while you were sleeping,1995,1995-04-09,6.8
101 dalmatians,1996,1996-11-18,5.7
beavis and butthead do america,1996,1996-12-15,6.8
birdcage,1996,1996-03-08,7.2
bottle rocket,,,6.9
bound,1996,1996-08-31,7.3
broken arrow,1996,1996-02-05,6.1
cable guy,,,6.1
chain reaction,1996,1996-08-01,5.6
courage under fire,1996,1996-07-12,6.6
craft,1996,1996-04-26,6.4
crash,1996,1996-05-17,6.4
daylight,1996,1996-12-05,5.9
dont be a menace to south central while drinking your juice in the hood,1996,1996-01-12,6.5
dragonheart,1996,1996-05-31,6.4
english patient,,,7.4
eraser,1996,1996-06-11,6.2
escape from la,1996,1996-08-09,5.7
executive decision,1996,1996-03-15,6.5
fan,,,5.9
fargo,1996,1996-03-08,8.1
first wives club,1996,1996-09-20,6.4
frighteners,1996,1996-07-17,7.1
from dusk till dawn,1996,1996-01-19,7.2
ghost and the darkness,1996,1996-10-03,6.8
happy gilmore,1996,1996-02-07,7.0
hunchback of notre dame,1996,1996-06-19,7.0
independence day,1996,1996-06-25,7.0
jack,1996,1996-07-30,5.8
james and the giant peach,1996,1996-04-12,6.7
jerry maguire,1996,1996-12-06,7.3
jingle all the way,1996,1996-11-16,5.7
kingpin,1996,1996-07-04,6.9
last man standing,,,6.4
long kiss goodnight,1996,1996-10-07,6.8
lost highway,1997,1997-01-15,7.6
mars attacks,1996,1996-12-12,6.4
matilda,1996,1996-07-28,7.0
mission impossible,1996,1996-05-20,7.2
nutty professor,1996,1996-06-27,5.7
people vs larry flynt,1996,1996-10-13,7.3
phenomenon,1996,1996-06-22,6.4
primal fear,,,7.7
ransom,1996,1996-11-01,6.7
rock,,,7.4
romeo juliet,1996,1996-10-27,6.7
scream,1996,1996-12-18,7.4
shine,,,7.6
sleepers,1996,1996-08-28,7.5
sling blade,1996,1996-08-30,8.0
space jam,1996,1996-11-10,6.5
star trek first contact,1996,1996-11-18,7.6
swingers,1996,1996-08-31,7.2
that thing you do,1996,1996-04-04,7.0
time to kill,,,7.5
tin cup,1996,1996-08-16,6.4
twister,1996,1996-05-08,6.5
absolute power,1997,1997-02-04,6.7
air force one,1997,1997-07-21,6.5
alien resurrection,1997,1997-11-06,6.2
amistad,1997,1997-12-04,7.3
anaconda,1997,1997-04-11,4.9
anastasia,1997,1997-11-14,7.1
austin powers international man of mystery,1997,1997-04-29,7.0
batman robin,,,3.8
bean,1997,1997-07-03,6.5
big lebowski,1998,1998-01-18,8.1
boogie nights,1997,1997-09-11,7.9
breakdown,1997,1997-04-24,7.0
buffalo 66,1998,1998-01-21,7.4
vita e bella,1997,1997-12-20,8.6
chasing amy,1997,1997-01-23,7.2
bachehaye aseman,,,8.2
con air,1997,1997-06-02,6.9
conspiracy theory,1997,1997-08-04,6.7
contact,1997,1997-07-05,7.5
cop land,1997,1997-08-06,7.0
dantes peak,,,6.0
dark city,1998,1998-02-25,7.6
devils advocate,1997,1997-10-13,7.5
devils own,1997,1997-03-13,6.2
doctor dolittle,1998,1998-06-13,5.4
donnie brasco,1997,1997-02-24,7.7
edge,1997,1997-09-06,6.9
event horizon,1997,1997-08-15,6.6
faceoff,1997,1997-06-19,7.3
fifth element,1997,1997-05-07,7.6
flubber,1997,1997-11-16,5.3
full monty,1997,1997-08-13,7.2
gi jane,1997,1997-08-22,6.0
game,1997,1997-09-03,7.7
gattaca,,,7.7
george of the jungle,1997,1997-07-16,5.5
good will hunting,1997,1997-12-02,8.3
great expectations,,,6.8
grosse pointe blank,1997,1997-04-09,7.3
sydney,1996,1996-01-20,7.1
hercules,1997,1997-06-13,7.3
home alone 3,1997,1997-12-10,4.6
i know what you did last summer,1997,1997-10-09,5.8
ice storm,1997,1997-05-12,7.3
jackal,1997,1997-11-14,6.4
jackie brown,1997,1997-12-08,7.5
kiss the girls,,,6.6
la confidential,1997,1997-05-14,8.2
liar liar,1997,1997-03-18,6.9
lolita,1997,1997-09-25,6.8
lost world jurassic park,1997,1997-05-19,6.5
meet joe black,1998,1998-11-02,7.2
men in black,1997,1997-06-25,7.3
mimic,,,6.0
mortal kombat annihilation,1997,1997-11-21,3.6
mouse hunt,1997,1997-12-19,6.5
my best friends wedding,1997,1997-06-20,6.3
as good as it gets,1997,1997-12-06,7.7
peacemaker,1997,1997-09-23,6.0
postman,1997,1997-12-12,6.1
