title,release_date_rt,year,genres_rt,rating_rt_audience
mission,2010-04-09,2010,['Drama'],72.0
predators,2010-07-09,2010,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",52.0
stonewall uprising,2010-06-16,2010,"['Documentary', 'Special Interest']",76.0
oath,2010-05-07,2010,"['Documentary', 'Special Interest']",79.0
wild hunt,2010-09-17,2010,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",74.0
arthur,1981-07-17,1981,"['Comedy', 'Romance']",77.0
lottery,2010-06-11,2010,"['Documentary', 'Special Interest']",76.0
assault on precinct 13,1976-11-05,1976,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",80.0
asylum,1972-11-17,1972,"['Documentary', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy', 'Special Interest', 'Romance']",48.0
attack of the 50 foot woman,1958-01-01,1958,"['Classics', 'Science Fiction & Fantasy']",20.0
avenging angel,,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",25.0
aviator,1985-03-01,1985,"['Action & Adventure', 'Drama']",41.0
awakening,1980-10-01,1980,"['Horror', 'Mystery & Suspense']",22.0
babes in toyland,1961-12-14,1961,"['Kids & Family', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']",59.0
bad company,1972-10-08,1972,"['Action & Adventure', 'Drama', 'Western']",71.0
bad news bears,1976-04-07,1976,"['Classics', 'Comedy']",80.0
bad seed,1956-09-12,1956,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']",83.0
bang the drum slowly,1973-01-01,1973,"['Classics', 'Comedy', 'Drama', 'Sports & Fitness']",62.0
battleground,1949-11-09,1949,"['Action & Adventure', 'Classics', 'Drama']",82.0
beauty and the beast la belle et la bete,1946-01-01,1946,"['Drama', 'Science Fiction & Fantasy', 'Romance']",90.0
belles of st trinians,,,"['Action & Adventure', 'Classics', 'Comedy']",70.0
1001 grams,2015-05-08,2015,['Drama'],48.0
best of times,1986-01-31,1986,"['Comedy', 'Drama']",43.0
betrayed,1988-08-26,1988,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",52.0
big brawl battle creek brawl,1980-09-10,1980,"['Action & Adventure', 'Comedy']",44.0
big business,1988-06-10,1988,['Comedy'],69.0
big heat,,,"['Classics', 'Drama', 'Mystery & Suspense']",90.0
big sleep,1946-08-31,1946,"['Classics', 'Drama', 'Mystery & Suspense']",91.0
big sleep,,,"['Art House & International', 'Drama', 'Mystery & Suspense']",26.0
billy budd,1962-11-12,1962,"['Action & Adventure', 'Classics', 'Drama']",86.0
birds,1963-03-28,1963,"['Classics', 'Horror', 'Mystery & Suspense']",83.0
black christmas,1974-12-20,1974,"['Horror', 'Mystery & Suspense']",75.0
black hole,1979-01-01,1979,"['Action & Adventure', 'Kids & Family', 'Science Fiction & Fantasy']",45.0
black pirate,1926-03-08,1926,"['Action & Adventure', 'Classics']",68.0
black rain,,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",55.0
black sunday,1977-03-11,1977,"['Action & Adventure', 'Drama', 'Horror', 'Mystery & Suspense']",64.0
black widow,1987-02-06,1987,"['Drama', 'Mystery & Suspense']",40.0
blackmail,1929-10-06,1929,"['Classics', 'Drama', 'Mystery & Suspense']",65.0
blind date,1987-03-27,1987,"['Comedy', 'Drama']",42.0
blood and sand,1941-05-22,1941,"['Classics', 'Drama', 'Romance']",67.0
blood feast,1963-01-01,1963,"['Classics', 'Horror']",44.0
blaue engel the blue angel,1930-04-01,1930,"['Art House & International', 'Classics', 'Drama', 'Musical & Performing Arts']",87.0
bluebeard,1944-11-11,1944,"['Classics', 'Drama', 'Horror', 'Mystery & Suspense']",38.0
border,1982-01-29,1982,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",53.0
born yesterday,1950-12-26,1950,"['Classics', 'Comedy', 'Drama']",86.0
boston strangler,1968-10-16,1968,"['Classics', 'Drama', 'Mystery & Suspense']",78.0
bounty,1984-05-04,1984,"['Action & Adventure', 'Drama']",72.0
boys from brazil,1978-10-05,1978,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",66.0
brainstorm,1983-09-30,1983,"['Mystery & Suspense', 'Science Fiction & Fantasy']",56.0
breakout,,,['Action & Adventure'],41.0
brewsters millions,1985-05-22,1985,['Comedy'],55.0
brians song,1970-05-01,1970,"['Classics', 'Drama', 'Television']",82.0
brief encounter,1945-11-26,1945,"['Classics', 'Drama', 'Romance']",91.0
broken arrow,1950-07-21,1950,"['Action & Adventure', 'Classics', 'Drama', 'Western', 'Romance']",70.0
broken blossoms,1919-05-13,1919,"['Classics', 'Drama', 'Romance']",71.0
brotherhood,1968-01-01,1968,"['Action & Adventure', 'Classics', 'Drama']",25.0
bug,1975-06-01,1975,"['Classics', 'Horror', 'Mystery & Suspense', 'Science Fiction & Fantasy']",25.0
burglar,1987-03-20,1987,"['Comedy', 'Drama']",39.0
bus stop,1956-01-01,1956,"['Comedy', 'Drama', 'Romance']",62.0
butch cassidy and the sundance kid,1969-10-24,1969,"['Action & Adventure', 'Classics', 'Western']",92.0
bye bye birdie,1963-04-04,1963,"['Classics', 'Comedy', 'Kids & Family', 'Musical & Performing Arts']",66.0
calamity jane,1953-11-04,1953,"['Classics', 'Comedy', 'Musical & Performing Arts', 'Western', 'Romance']",87.0
camelot,1967-10-25,1967,"['Action & Adventure', 'Classics', 'Comedy', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy', 'Romance']",69.0
camille,1936-01-01,1936,"['Classics', 'Drama', 'Romance']",83.0
cape fear,1962-04-18,1962,"['Classics', 'Drama', 'Mystery & Suspense']",86.0
captain blood,1935-12-28,1935,"['Action & Adventure', 'Classics']",89.0
captains courageous,1937-06-25,1937,"['Action & Adventure', 'Classics']",89.0
carnival of souls,1962-09-26,1962,"['Classics', 'Comedy', 'Horror', 'Mystery & Suspense']",73.0
