title,release_date_meta,year,rating_metacritic
turistas,2006-12-01,2006,36
happiness,1998-10-16,1998,81
red planet,2000-11-10,2000,34
senseless,1998-02-20,1998,36
broken bridges,2006-09-08,2006,32
vanishing of sidney hall,2018-03-02,2018,18
masked and anonymous,2003-07-24,2003,32
liam gallagher as it was,2019-09-13,2019,48
happy gilmore,1996-02-16,1996,31
billy madison,1995-02-10,1995,16
death sentence,2007-08-31,2007,36
christmas with the kranks,2004-11-24,2004,22
my soul to take,2010-10-08,2010,25
queen of the damned,2002-02-22,2002,30
clue,1985-12-13,1985,36
indecent proposal,1993-04-07,1993,35
spun,2003-03-14,2003,41
mindhunters,2005-05-13,2005,33
digimon digital monsters,2000-10-06,2000,20
ex,2007-05-11,2007,32
pokemon heroes,2003-05-16,2003,27
to save a life,2010-01-22,2010,19
shottas,2006-11-03,2006,36
mixed nuts,1994-12-21,1994,14
gray matters,2007-02-23,2007,31
american affair,2009-02-27,2009,31
silent hill,2006-04-21,2006,31
freddy vs jason,2003-08-15,2003,37
phantom of the opera,2004-12-22,2004,40
cell,2000-08-18,2000,40
dead man down,2013-03-08,2013,39
may,2003-02-07,2003,58
war,2007-08-24,2007,36
cry_wolf,2005-09-16,2005,39
big fat liar,2002-02-08,2002,36
salton sea,2002-04-26,2002,41
michael,1996-12-25,1996,38
halloween the curse of michael myers,1995-09-29,1995,10
i can only imagine,2018-03-16,2018,30
uhf,1989-07-21,1989,32
dirty dancing havana nights,2004-02-27,2004,39
i melt with you,2011-12-09,2011,26
head in the clouds,2004-09-17,2004,40
three to tango,1999-10-22,1999,36
poolhall junkies,2003-02-28,2003,36
my way,2012-04-20,2012,30
at first sight,1999-01-15,1999,40
there be dragons,2011-05-06,2011,33
friday the 13th part vii the new blood,1988-05-13,1988,13
body,2001-04-13,2001,21
bigger than the sky,2005-02-18,2005,21
tyrel,2018-12-05,2018,71
spawn,1997-08-01,1997,34
amityville horror,2005-04-15,2005,33
uptown girls,2003-08-15,2003,33
revolver,2007-12-07,2007,25
repo the genetic opera,2008-11-07,2008,32
backdraft,1991-05-24,1991,38
churchill,2017-06-02,2017,44
phenomenon,1996-07-03,1996,41
monkeybone,2001-02-23,2001,40
